tool_id,tool_name,directory,event_type,version,old_version,change_type,commit_hash,commit_date,commit_message
concoct_merge_cut_up_clustering,CONCOCT: Merge cut clusters,concoct,update,1.1.0+galaxy1,1.1.0+galaxy0,wrapper,58c54ba18f478ce75fdfd6093921ba0b50af02ac,2022-08-03T13:34:03+00:00,CONCOCT: Add assembly mode to compute the coverage table (#4699)
nextalign,NextAlign,nextclade,update,2.4.0+galaxy0,1.11.0+galaxy0,upstream,2c63aeec74c260ccd9b2cdbbe1869bef2f3d5cda,2022-08-04T06:40:24+00:00,Merge pull request #4693 from pvanheus/nextclade_update
nextclade,Nextclade,nextclade,update,2.4.0+galaxy0,1.11.0+galaxy0,upstream,2c63aeec74c260ccd9b2cdbbe1869bef2f3d5cda,2022-08-04T06:40:24+00:00,Merge pull request #4693 from pvanheus/nextclade_update
hamronize_summarize,hamronize summarize:,hamronization,update,1.0.3+galaxy2,1.0.3+galaxy1,wrapper,f09c6b7e45ccd61956942b5aab76c0c8ccc0fe03,2022-08-05T12:39:39+00:00,hamronization failed file format input (#4559)
quast,Quast,quast,update,5.2.0+galaxy0,5.0.2+galaxy5,upstream,b4d6989e1e185120ce470df5c2b0d93330d5e124,2022-08-05T14:54:27+00:00,Merge pull request #4587 from planemo-autoupdate/tools/quast
checkm_analyze,CheckM analyze,checkm,new,1.2.0+galaxy0,,initial,a96defec82bfa9628fa821ffa6df5c68314a41d8,2022-08-08T19:20:19+00:00,Add filter for empty extra output (#4706)
checkm_lineage_wf,CheckM lineage_wf,checkm,new,1.2.0+galaxy0,,initial,a96defec82bfa9628fa821ffa6df5c68314a41d8,2022-08-08T19:20:19+00:00,Add filter for empty extra output (#4706)
checkm_taxonomy_wf,CheckM taxonomy_wf,checkm,new,1.2.0+galaxy0,,initial,a96defec82bfa9628fa821ffa6df5c68314a41d8,2022-08-08T19:20:19+00:00,Add filter for empty extra output (#4706)
checkm_tree,CheckM tree,checkm,new,1.2.0+galaxy0,,initial,a96defec82bfa9628fa821ffa6df5c68314a41d8,2022-08-08T19:20:19+00:00,Add filter for empty extra output (#4706)
magicblast,Magic-BLAST: map large RNA or DNA sequences,blast,new,1.6.0+galaxy1,,initial,03f44b153a1a79a5e7304a2f73e9e9160923ee9b,2022-08-09T12:42:33+00:00,magicblast: don't hard-code default db name (#4707)
intervene_pairwise,Pairwise intersection,intervene,update,0.6.5+galaxy1,0.6.5,wrapper,bf6d77a84f796430a6b4530209d0f21e1d40d25a,2022-08-10T08:05:44+00:00,add new output to the intervene tool (#4710)
metaspades,metaSPAdes,spades,update,3.15.4+galaxy2,3.15.4+galaxy1,wrapper,35f71aa486d8754ee6a8387659032fc7c93d1be3,2022-08-10T12:41:10+00:00,spades: add OMP_THREAD_LIMIT (#4711)
rnaspades,rnaSPAdes,spades,update,3.15.4+galaxy2,3.9.0.2,wrapper,35f71aa486d8754ee6a8387659032fc7c93d1be3,2022-08-10T12:41:10+00:00,spades: add OMP_THREAD_LIMIT (#4711)
spades_biosyntheticspades,biosyntheticSPAdes,spades,new,3.15.4+galaxy2,,initial,35f71aa486d8754ee6a8387659032fc7c93d1be3,2022-08-10T12:41:10+00:00,spades: add OMP_THREAD_LIMIT (#4711)
spades_coronaspades,coronaSPAdes,spades,update,3.15.4+galaxy2,3.15.4+galaxy1,wrapper,35f71aa486d8754ee6a8387659032fc7c93d1be3,2022-08-10T12:41:10+00:00,spades: add OMP_THREAD_LIMIT (#4711)
spades_metaplasmidspades,metaplasmidSPAdes,spades,update,3.15.4+galaxy2,3.15.4+galaxy1,wrapper,35f71aa486d8754ee6a8387659032fc7c93d1be3,2022-08-10T12:41:10+00:00,spades: add OMP_THREAD_LIMIT (#4711)
spades_metaviralspades,metaviralSPAdes,spades,update,3.15.4+galaxy2,3.15.4+galaxy1,wrapper,35f71aa486d8754ee6a8387659032fc7c93d1be3,2022-08-10T12:41:10+00:00,spades: add OMP_THREAD_LIMIT (#4711)
spades_plasmidspades,plasmidSPAdes,spades,update,3.15.4+galaxy2,3.15.4+galaxy1,wrapper,35f71aa486d8754ee6a8387659032fc7c93d1be3,2022-08-10T12:41:10+00:00,spades: add OMP_THREAD_LIMIT (#4711)
spades_rnaviralspades,rnaviralSPAdes,spades,update,3.15.4+galaxy2,3.15.4+galaxy1,wrapper,35f71aa486d8754ee6a8387659032fc7c93d1be3,2022-08-10T12:41:10+00:00,spades: add OMP_THREAD_LIMIT (#4711)
