IncFII_p14_.1_p14_JQ418538	0	0	.	.	Original name was IncFII(p14)_1_p14_JQ418538
IncFII_p96A_.1_p96A_JQ418521	0	0	.	.	Original name was IncFII(p96A)_1_p96A_JQ418521
IncFII_pAMA1167_NDM_5_.1_pAMA1167_NDM_5_CP024805.1	0	0	.	.	Original name was IncFII(pAMA1167-NDM-5)_1_pAMA1167-NDM-5_CP024805.1
IncFII_pCRY_.1_pCRY_NC_005814	0	0	.	.	Original name was IncFII(pCRY)_1_pCRY_NC_005814
IncFII_pCTU2_.1_pCTU2_FN543095	0	0	.	.	Original name was IncFII(pCTU2)_1_pCTU2_FN543095
IncFII_pCoo_.1_pCoo_CR942285	0	0	.	.	Original name was IncFII(pCoo)_1_pCoo_CR942285
IncFII_pECLA_.1_pECLA_CP001919	0	0	.	.	Original name was IncFII(pECLA)_1_pECLA_CP001919
IncFII_pENTA_.1_pENTA_CP003027	0	0	.	.	Original name was IncFII(pENTA)_1_pENTA_CP003027
IncFII_pHN7A8_.1_pHN7A8_JN232517	0	0	.	.	Original name was IncFII(pHN7A8)_1_pHN7A8_JN232517
IncFII_pKPX1_._AP012055	0	0	.	.	Original name was IncFII(pKPX1)__AP012055
IncFII_pMET_.1_pMET1_EU383016	0	0	.	.	Original name was IncFII(pMET)_1_pMET1_EU383016
IncFII_pRSB107_.1_pRSB107_AJ851089	0	0	.	.	Original name was IncFII(pRSB107)_1_pRSB107_AJ851089
IncFII_pSE11_.1_pSE11_AP009242	0	0	.	.	Original name was IncFII(pSE11)_1_pSE11_AP009242
IncFII_pYVa12790_.1_pYVa12790_AY150843	0	0	.	.	Original name was IncFII(pYVa12790)_1_pYVa12790_AY150843
IncFII_pseudo_.1_pseudo_NC_011759	0	0	.	.	Original name was IncFII(pseudo)_1_pseudo_NC_011759
IncHI1A.1__AF250878	0	0	.	.	Original name was IncHI1A_1__AF250878
IncHI1A_CIT_.1_pNDM_CIT_JX182975	0	0	.	.	Original name was IncHI1A(CIT)_1_pNDM-CIT_JX182975
IncHI1B.1_pNDM_MAR_JN420336	0	0	.	.	Original name was IncHI1B_1_pNDM-MAR_JN420336
IncHI1B_CIT_.1_pNDM_CIT_JX182975	0	0	.	.	Original name was IncHI1B(CIT)_1_pNDM-CIT_JX182975
IncHI1B_R27_.1_R27_AF250878	0	0	.	.	Original name was IncHI1B(R27)_1_R27_AF250878
IncHI2.1__BX664015	0	0	.	.	Original name was IncHI2_1__BX664015
IncHI2A.1__BX664015	0	0	.	.	Original name was IncHI2A_1__BX664015
IncI.Gamma_1_AP011954	0	0	.	.	Original name was IncI_Gamma_1_AP011954
IncI1.1_Alpha_AP005147	0	0	.	.	Original name was IncI1_1_Alpha_AP005147
IncI2.1_Delta_AP002527	0	0	.	.	Original name was IncI2_1_Delta_AP002527
IncI2.1__KP347127	0	0	.	.	Original name was IncI2_1__KP347127
IncL_M.1__AF550415	0	0	.	.	Original name was IncL/M_1__AF550415
IncL_M_pMU407_.1_pMU407_U27345	0	0	.	.	Original name was IncL/M(pMU407)_1_pMU407_U27345
IncL_M_pOXA_48_.1_pOXA_48_JN626286	0	0	.	.	Original name was IncL/M(pOXA-48)_1_pOXA-48_JN626286
IncN.1__AY046276	0	0	.	.	Original name was IncN_1__AY046276
IncN2.1__JF785549	0	0	.	.	Original name was IncN2_1__JF785549
IncN3.1__EF219134	0	0	.	.	Original name was IncN3_1__EF219134
IncP1.1__BN000925	0	0	.	.	Original name was IncP1_1__BN000925
IncP1.2__U67194	0	0	.	.	Original name was IncP1_2__U67194
IncP1.3__KX377410	0	0	.	.	Original name was IncP1_3__KX377410
IncP6.1__JF785550	0	0	.	.	Original name was IncP6_1__JF785550
IncQ1.1__M28829.1	0	0	.	.	Original name was IncQ1_1__M28829.1
IncQ2.1__FJ696404	0	0	.	.	Original name was IncQ2_1__FJ696404
IncR.1__DQ449578	0	0	.	.	Original name was IncR_1__DQ449578
IncT.1__AP004237	0	0	.	.	Original name was IncT_1__AP004237
IncU.1__DQ401103	0	0	.	.	Original name was IncU_1__DQ401103
IncW.1__EF633507	0	0	.	.	Original name was IncW_1__EF633507
IncX1.1__EU370913	0	0	.	.	Original name was IncX1_1__EU370913
IncX1.2__CP003417	0	0	.	.	Original name was IncX1_2__CP003417
IncX1.3__CP001123	0	0	.	.	Original name was IncX1_3__CP001123
IncX1.4__JN935898	0	0	.	.	Original name was IncX1_4__JN935898
IncX2.1__JQ269335	0	0	.	.	Original name was IncX2_1__JQ269335
IncX3.1__JN247852	0	0	.	.	Original name was IncX3_1__JN247852
IncX3_pEC14_.1_pEC14_JN935899	0	0	.	.	Original name was IncX3(pEC14)_1_pEC14_JN935899
IncX4.1__CP002895	0	0	.	.	Original name was IncX4_1__CP002895
IncX4.2__FN543504	0	0	.	.	Original name was IncX4_2__FN543504
IncX5.1__JX193302	0	0	.	.	Original name was IncX5_1__JX193302
IncX5.2__MF062700.1	0	0	.	.	Original name was IncX5_2__MF062700.1
IncX6.1__KU302800	0	0	.	.	Original name was IncX6_1__KU302800
IncX7.1__NC_015054	0	0	.	.	Original name was IncX7_1__NC_015054
IncX8.1__AM942760	0	0	.	.	Original name was IncX8_1__AM942760
IncX9.1__NC_010257	0	0	.	.	Original name was IncX9_1__NC_010257
IncY.1__K02380	0	0	.	.	Original name was IncY_1__K02380
Rep.1_pKPC_2_CP011573	0	0	.	.	Original name was Rep_1_pKPC-2_CP011573
RepA.1_pKPC_CAV1321_CP011611	0	0	.	.	Original name was RepA_1_pKPC-CAV1321_CP011611
p0111.1__AP010962	0	0	.	.	Original name was p0111_1__AP010962
pADAP.1__AF135182	0	0	.	.	Original name was pADAP_1__AF135182
pEC4115.1__NC_011351	0	0	.	.	Original name was pEC4115_1__NC_011351
pENTAS02.1__CP003028	0	0	.	.	Original name was pENTAS02_1__CP003028
pESA2.1__CP000784	0	0	.	.	Original name was pESA2_1__CP000784
pIP31758_p153_.1_p153_CP000719	0	0	.	.	Original name was pIP31758(p153)_1_p153_CP000719
pIP31758_p59_.1_p59_CP000718	0	0	.	.	Original name was pIP31758(p59)_1_p59_CP000718
pIP32953.1__BX936400	0	0	.	.	Original name was pIP32953_1__BX936400
pJARS36.1__NC_015068	0	0	.	.	Original name was pJARS36_1__NC_015068
